"","CD_REFNIS_SECTOR","TX_SECTOR_DESCR_NL","halal_store"
"165","35013A42-","NIEUWLANDSTRAAT",1
"166","35013A501","H. HARTPLEIN",1
"167","36015A001","ROESELARE-CENTRUM",1
"168","36015A101","BEVERENSTEENWEG",2
"169","36019A033","VOORSTAD",1
"170","41002A20-","HOVENIERS",1
"171","41002A24-","BERGEMEERSEN",1
"172","41002A71-","DUIVEKEET",2
"173","41002A721","PUITEPUT",2
"174","41018A00-","GERAARDSBERGEN-CENTRUM",1
"175","42006A001","DENDERMONDE-CENTRUM",1
"176","42008A08-","BUNT",1
"177","42025A812","STATIEKOUTER",1
"178","43005A03-","ZUIDMOERSTRAAT-GENTSESTEENWEG",1
"179","44011A000","MARKT - TOLPOORTSTRAAT - KNOK",2
"180","44021A040","BRIEL",1
"181","44021A10-","SINT-MACHARIUS",1
"182","44021A50-","DRONGENSTEENWEG",1
"183","44021A531","ROOIGEM",2
"184","44021A542","GROENDREEF",1
"185","44021A63-","TOLHUIS",3
"186","44021A731","GALGENBERG",2
"187","44021A801","WONDELGEMSTRAAT",4
"188","44021B433","STEENAKKER",1
"189","44021C72-","MUIDEBRUG",1
"190","44021C800","MUIDE",1
"191","44021E042","SCHELDESTRAAT",1
"192","44021E32-","DAMPOORT",2
"193","44021G00-","LEDEBERG-CENTRUM",2
"194","44021M102","VAN BEVEREPLEIN",1
"195","44034A044","VAARSBAARS - KOUTER",1
"196","45041A00-","RONSE-CENTRUM",1
"197","45041A03-","KASTEELSTRAAT",2
"198","45041A400","FLOREAL - OUD KERKHOF",1
"199","45041A620","SANCTA MARIA",1
"200","45060A074","HERPELGEM",1
"201","46014A053","LAND VAN LUIK",1
"202","46014A291","HEIENDE - VERSPREIDE BEWONING",1
"203","46014A501","BOKSLAAR - SPOELE",1
"204","46021A011","ANKERSTRAAT",2
"205","46021A152","PADDENSCHOOT",1
"206","46021A401","KONINGIN ELISABETHPLEIN",1
"207","46021A522","VAN DURMESTRAAT",1
"208","46021A732","HAZEWIND",1
"209","52011A00-","CHARLEROI - VILLE HAUTE",5
"210","52011A031","BEAUX ARTS",3
"211","52011A04-","UNIVERSITE DU TRAVAIL",5
"212","52011D010","QUARTRE BRAS",3
"213","52011D02-","LE LOUVV",1
"214","52011D042","HOPITAL ST JOSEPH",1
"215","52011D40-","LES HAIES",2
"216","52011G001","MARCINELLE-CENTRE",1
"217","52011G1AS","LA VILLETTE",1
"218","52011J201","MARCHIENNE ETAT",1
"219","52011J3MH","FABRIQUE DE FER",2
"220","52011J432","QUARTIER ST CHARLES",1
"221","52011J57-","LA PROVIDENCE",1
"222","52011K011","ST FIACRE",1
"223","52011N101","GOHISSART - LA QUAIRELLE",2
"224","52011P07-","QUARTIER INDUSTRIEL DE LA GARE",1
"225","52012B042","LA VALLEE",2
"226","52015A132","TRIEU DES AGNEAUX",1
"227","52018A10-","LE WAINAGE-CENTRE",1
"228","52043A00-","MANAGE-CENTRE",1
"229","52043A01-","SCAILMONT CHATEAU",1
"230","53014A011","ROUTE CORON",1
"231","53053A00-","MONS-CENTRE",3
"232","53053A04-","MONS STATION",1
"233","53065A202","MONSVILLE-EST",4
"234","55022A00-","LA LOUVIERE-CENTRE",3
"235","55022C11-","JOLIMONT (ST-PAUL)",1
"236","57081A011","SEMINAIRE - SAINT-PIAT",1
